enlace_sidebar,coincidencia_fs,slug_sidebar,slug_fs,status
README.md,,readme.md,,NO_MATCH
indice.md,,indice.md,,NO_MATCH
1_objetivos_del_documento4_2_servicio_de_soporte_general5.md,,1_objetivos_del_documento4_2_servicio_de_soporte_general5.md,,NO_MATCH
6_integracion_con_sap12.md,,6_integracion_con_sap12.md,,NO_MATCH
7_migracion_de_aplicaciones_a_arquitectura_radar14.md,,7_migracion_de_aplicaciones_a_arquitectura_radar14.md,,NO_MATCH
9_progreso_actual_en_el_ciclo_de_traspaso_de_conocimientos17.md,,9_progreso_actual_en_el_ciclo_de_traspaso_de_conocimientos17.md,,NO_MATCH
1_objetivos_del_documento.md,,1_objetivos_del_documento.md,,NO_MATCH
2_servicio_de_soporte_general.md,,2_servicio_de_soporte_general.md,,NO_MATCH
21_descripcion_general.md,,21_descripcion_general.md,,NO_MATCH
22_situacion_actual.md,,22_situacion_actual.md,,NO_MATCH
221_necorv6.md,,221_necorv6.md,,NO_MATCH
222_pdb.md,,222_pdb.md,,NO_MATCH
223_clientes_externos.md,,223_clientes_externos.md,,NO_MATCH
23_transferencia_de_conocimientos.md,,23_transferencia_de_conocimientos.md,,NO_MATCH
24_responsables.md,,24_responsables.md,,NO_MATCH
3_proyectos_historicos_pdb.md,,3_proyectos_historicos_pdb.md,,NO_MATCH
31_descripcion_general.md,,31_descripcion_general.md,,NO_MATCH
32_situacion_actual.md,,32_situacion_actual.md,,NO_MATCH
321_necorv6.md,,321_necorv6.md,,NO_MATCH
33_transferencia_de_conocimientos.md,,33_transferencia_de_conocimientos.md,,NO_MATCH
331_necorv6.md,,331_necorv6.md,,NO_MATCH
332_pdb.md,,332_pdb.md,,NO_MATCH
34_responsables.md,,34_responsables.md,,NO_MATCH
4_interfaces_con_clientes_externos.md,,4_interfaces_con_clientes_externos.md,,NO_MATCH
41_descripcion_general.md,,41_descripcion_general.md,,NO_MATCH
42_situacion_actual.md,,42_situacion_actual.md,,NO_MATCH
421_ecadat.md,,421_ecadat.md,,NO_MATCH
423_procesos_manuales.md,,423_procesos_manuales.md,,NO_MATCH
43_transferencia_de_conocimientos.md,,43_transferencia_de_conocimientos.md,,NO_MATCH
44_responsables.md,,44_responsables.md,,NO_MATCH
5_soporte_y_mantenimiento_interarma_--_galia.md,,5_soporte_y_mantenimiento_interarma_galia.md,,NO_MATCH
51_descripcion_general.md,,51_descripcion_general.md,,NO_MATCH
52_situacion_actual.md,,52_situacion_actual.md,,NO_MATCH
521_interarma.md,,521_interarma.md,,NO_MATCH
522_comunicacion_sistema_armada_--_galia.md,,522_comunicacion_sistema_armada_galia.md,,NO_MATCH
523_linea_de_desarrollo.md,,523_linea_de_desarrollo.md,,NO_MATCH
53_transferencia_de_conocimientos.md,,53_transferencia_de_conocimientos.md,,NO_MATCH
54_responsables.md,,54_responsables.md,,NO_MATCH
6_integracion_con_sap.md,,6_integracion_con_sap.md,,NO_MATCH
61_descripcion_general.md,,61_descripcion_general.md,,NO_MATCH
62_situacion_actual.md,,62_situacion_actual.md,,NO_MATCH
621_linea_de_desarrollo.md,,621_linea_de_desarrollo.md,,NO_MATCH
63_transferencia_de_conocimientos.md,,63_transferencia_de_conocimientos.md,,NO_MATCH
64_responsables.md,,64_responsables.md,,NO_MATCH
7_migracion_de_aplicaciones_a_arquitectura_radar.md,,7_migracion_de_aplicaciones_a_arquitectura_radar.md,,NO_MATCH
72_situacion_actual.md,,72_situacion_actual.md,,NO_MATCH
721_linea_de_desarrollo.md,,721_linea_de_desarrollo.md,,NO_MATCH
73_transferencia_de_conocimientos.md,,73_transferencia_de_conocimientos.md,,NO_MATCH
74_responsables.md,,74_responsables.md,,NO_MATCH
8_gestion_de_la_obsolescencia.md,,8_gestion_de_la_obsolescencia.md,,NO_MATCH
81_descripcion_general.md,,81_descripcion_general.md,,NO_MATCH
82_situacion_actual.md,,82_situacion_actual.md,,NO_MATCH
821_migracion_de_bases_de_datos_sql_server.md,,821_migracion_de_bases_de_datos_sql_server.md,,NO_MATCH
822_migracion_de_aplicaciones_para_ejecutar_en_w10.md,,822_migracion_de_aplicaciones_para_ejecutar_en_w10.md,,NO_MATCH
83_transferencia_de_conocimientos.md,,83_transferencia_de_conocimientos.md,,NO_MATCH
84_responsables.md,,84_responsables.md,,NO_MATCH
9_progreso_actual_en_el_ciclo_de_traspaso_de_conocimientos.md,,9_progreso_actual_en_el_ciclo_de_traspaso_de_conocimientos.md,,NO_MATCH
